"years","school","position","career","name","year"
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",1997
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",1998
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",1999
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",2000
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",2001
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",2002
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",2003
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",2004
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",2005
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",2006
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",2007
"1997–2008","Wyoming","HC","Coaching","Dave Christensen",2008
"2009–2013","Western Washington","RB","Coaching","Dave Christensen",2009
"2009–2013","Western Washington","RB","Coaching","Dave Christensen",2010
"2009–2013","Western Washington","RB","Coaching","Dave Christensen",2011
"2009–2013","Western Washington","RB","Coaching","Dave Christensen",2012
"2009–2013","Western Washington","RB","Coaching","Dave Christensen",2013
"1985","West Virginia","SA","Coaching","Rich Rodriguez",1985
"1986","Salem","DB/ST","Coaching","Rich Rodriguez",1986
"1987","Salem","AHC/DC","Coaching","Rich Rodriguez",1987
"1988","Salem","HC","Coaching","Rich Rodriguez",1988
"1989","West Virginia","OLB","Coaching","Rich Rodriguez",1989
"1990–1996","Glenville State","HC","Coaching","Rich Rodriguez",1990
"1990–1996","Glenville State","HC","Coaching","Rich Rodriguez",1991
"1990–1996","Glenville State","HC","Coaching","Rich Rodriguez",1992
"1990–1996","Glenville State","HC","Coaching","Rich Rodriguez",1993
"1990–1996","Glenville State","HC","Coaching","Rich Rodriguez",1994
"1990–1996","Glenville State","HC","Coaching","Rich Rodriguez",1995
"1990–1996","Glenville State","HC","Coaching","Rich Rodriguez",1996
"1997–1998","Tulane","OC","Coaching","Rich Rodriguez",1997
"1997–1998","Tulane","OC","Coaching","Rich Rodriguez",1998
"1999–2000","Clemson","OC","Coaching","Rich Rodriguez",1999
"1999–2000","Clemson","OC","Coaching","Rich Rodriguez",2000
"2001–2007","West Virginia","HC","Coaching","Rich Rodriguez",2001
"2001–2007","West Virginia","HC","Coaching","Rich Rodriguez",2002
"2001–2007","West Virginia","HC","Coaching","Rich Rodriguez",2003
"2001–2007","West Virginia","HC","Coaching","Rich Rodriguez",2004
"2001–2007","West Virginia","HC","Coaching","Rich Rodriguez",2005
"2001–2007","West Virginia","HC","Coaching","Rich Rodriguez",2006
"2001–2007","West Virginia","HC","Coaching","Rich Rodriguez",2007
"2008–2010","Michigan","HC","Coaching","Rich Rodriguez",2008
"2008–2010","Michigan","HC","Coaching","Rich Rodriguez",2009
"2008–2010","Michigan","HC","Coaching","Rich Rodriguez",2010
"2012–2013","Arizona","HC","Coaching","Rich Rodriguez",2012
"2012–2013","Arizona","HC","Coaching","Rich Rodriguez",2013
"1988–1990","Poteet","Assistant","Coaching","Todd Graham",1988
"1988–1990","Poteet","Assistant","Coaching","Todd Graham",1989
"1988–1990","Poteet","Assistant","Coaching","Todd Graham",1990
"1991–1993","East Central","DC","Coaching","Todd Graham",1991
"1991–1993","East Central","DC","Coaching","Todd Graham",1992
"1991–1993","East Central","DC","Coaching","Todd Graham",1993
"1994","Midwest City","LB","Coaching","Todd Graham",1994
"1995–2000","West Virginia","co-DC","Coaching","Todd Graham",1995
"1995–2000","West Virginia","co-DC","Coaching","Todd Graham",1996
"1995–2000","West Virginia","co-DC","Coaching","Todd Graham",1997
"1995–2000","West Virginia","co-DC","Coaching","Todd Graham",1998
"1995–2000","West Virginia","co-DC","Coaching","Todd Graham",1999
"1995–2000","West Virginia","co-DC","Coaching","Todd Graham",2000
"2001","Tulsa","DC","Coaching","Todd Graham",2001
"2002","Rice","HC","Coaching","Todd Graham",2002
"2003–2005","Tulsa","HC","Coaching","Todd Graham",2003
"2003–2005","Tulsa","HC","Coaching","Todd Graham",2004
"2003–2005","Tulsa","HC","Coaching","Todd Graham",2005
"2006","Pittsburgh","HC","Coaching","Todd Graham",2006
"2007–2010","Arizona State","HC","Coaching","Todd Graham",2007
"2007–2010","Arizona State","HC","Coaching","Todd Graham",2008
"2007–2010","Arizona State","HC","Coaching","Todd Graham",2009
"2007–2010","Arizona State","HC","Coaching","Todd Graham",2010
"2011","Poteet","Assistant","Coaching","Todd Graham",2011
"2012–2013","East Central","DC","Coaching","Todd Graham",2012
"2012–2013","East Central","DC","Coaching","Todd Graham",2013
"1994","J. J. Pearce HS","RB","Coaching","Sonny Dykes",1994
"1994","Navarro","RB","Coaching","Sonny Dykes",1994
"1995","Navarro","PG/QB","Coaching","Sonny Dykes",1995
"1996","Kentucky","GA/TE","Coaching","Sonny Dykes",1996
"1997","Northeast Louisiana","WR","Coaching","Sonny Dykes",1997
"1998","Kentucky","ST/WR","Coaching","Sonny Dykes",1998
"1999","Texas Tech","WR","Coaching","Sonny Dykes",1999
"2000–2004","Texas Tech","Co-OC/WR","Coaching","Sonny Dykes",2000
"2000–2004","Texas Tech","Co-OC/WR","Coaching","Sonny Dykes",2001
"2000–2004","Texas Tech","Co-OC/WR","Coaching","Sonny Dykes",2002
"2000–2004","Texas Tech","Co-OC/WR","Coaching","Sonny Dykes",2003
"2000–2004","Texas Tech","Co-OC/WR","Coaching","Sonny Dykes",2004
"2005–2006","Arizona","OC/QB","Coaching","Sonny Dykes",2005
"2005–2006","Arizona","OC/QB","Coaching","Sonny Dykes",2006
"2007–2009","Louisiana Tech","HC","Coaching","Sonny Dykes",2007
"2007–2009","Louisiana Tech","HC","Coaching","Sonny Dykes",2008
"2007–2009","Louisiana Tech","HC","Coaching","Sonny Dykes",2009
"2010–2012","California","HC","Coaching","Sonny Dykes",2010
"2010–2012","California","HC","Coaching","Sonny Dykes",2011
"2010–2012","California","HC","Coaching","Sonny Dykes",2012
"2013–2013","Monahans HS","assistant","Coaching","Sonny Dykes",2013
"1989-1993","J. J. Pearce HS","RB","Coaching","Sonny Dykes",1989
"1989-1993","J. J. Pearce HS","RB","Coaching","Sonny Dykes",1990
"1989-1993","J. J. Pearce HS","RB","Coaching","Sonny Dykes",1991
"1989-1993","J. J. Pearce HS","RB","Coaching","Sonny Dykes",1992
"1989-1993","J. J. Pearce HS","RB","Coaching","Sonny Dykes",1993
"1994","Navarro","RB","Coaching","Sonny Dykes",1994
"1990–1991 ","Georgia","GA","Coaching","Mike MacIntyre",1990
"1990–1991 ","Georgia","GA","Coaching","Mike MacIntyre",1991
"1992 ","Davidson","DC","Coaching","Mike MacIntyre",1992
"1993–1996 ","UT Martin","DC","Coaching","Mike MacIntyre",1993
"1993–1996 ","UT Martin","DC","Coaching","Mike MacIntyre",1994
"1993–1996 ","UT Martin","DC","Coaching","Mike MacIntyre",1995
"1993–1996 ","UT Martin","DC","Coaching","Mike MacIntyre",1996
"1997–1998 ","Temple","DC","Coaching","Mike MacIntyre",1997
"1997–1998 ","Temple","DC","Coaching","Mike MacIntyre",1998
"1999–2002 ","Mississippi","WR/DB","Coaching","Mike MacIntyre",1999
"1999–2002 ","Mississippi","WR/DB","Coaching","Mike MacIntyre",2000
"1999–2002 ","Mississippi","WR/DB","Coaching","Mike MacIntyre",2001
"1999–2002 ","Mississippi","WR/DB","Coaching","Mike MacIntyre",2002
"2003–2006 ","Dallas Cowboys","DB","Coaching","Mike MacIntyre",2003
"2003–2006 ","Dallas Cowboys","DB","Coaching","Mike MacIntyre",2004
"2003–2006 ","Dallas Cowboys","DB","Coaching","Mike MacIntyre",2005
"2003–2006 ","Dallas Cowboys","DB","Coaching","Mike MacIntyre",2006
"2007 ","New York Jets","DB","Coaching","Mike MacIntyre",2007
"2008–2009 ","Duke","DC","Coaching","Mike MacIntyre",2008
"2008–2009 ","Duke","DC","Coaching","Mike MacIntyre",2009
"2010–2012 ","San Jose State","HC","Coaching","Mike MacIntyre",2010
"2010–2012 ","San Jose State","HC","Coaching","Mike MacIntyre",2011
"2010–2012 ","San Jose State","HC","Coaching","Mike MacIntyre",2012
"2013–2013","Colorado","HC","Coaching","Mike MacIntyre",2013
"1997","Oregon","GA","Coaching","Mark Helfrich",1997
"1998-2000","Boise State","QB","Coaching","Mark Helfrich",1998
"1998-2000","Boise State","QB","Coaching","Mark Helfrich",1999
"1998-2000","Boise State","QB","Coaching","Mark Helfrich",2000
"2001-2005","Arizona State","QB","Coaching","Mark Helfrich",2001
"2001-2005","Arizona State","QB","Coaching","Mark Helfrich",2002
"2001-2005","Arizona State","QB","Coaching","Mark Helfrich",2003
"2001-2005","Arizona State","QB","Coaching","Mark Helfrich",2004
"2001-2005","Arizona State","QB","Coaching","Mark Helfrich",2005
"2006-2008","Colorado","QB","Coaching","Mark Helfrich",2006
"2006-2008","Colorado","QB","Coaching","Mark Helfrich",2007
"2006-2008","Colorado","QB","Coaching","Mark Helfrich",2008
"2009-2012","Oregon","QB","Coaching","Mark Helfrich",2009
"2009-2012","Oregon","QB","Coaching","Mark Helfrich",2010
"2009-2012","Oregon","QB","Coaching","Mark Helfrich",2011
"2009-2012","Oregon","QB","Coaching","Mark Helfrich",2012
"2013-2013","Oregon","HC","Coaching","Mark Helfrich",2013
"1975","California","GA","Coaching","Mike Riley",1975
"1976","Whitworth","GA","Coaching","Mike Riley",1976
"1977–1982","Linfield","DC","Coaching","Mike Riley",1977
"1977–1982","Linfield","DC","Coaching","Mike Riley",1978
"1977–1982","Linfield","DC","Coaching","Mike Riley",1979
"1977–1982","Linfield","DC","Coaching","Mike Riley",1980
"1977–1982","Linfield","DC","Coaching","Mike Riley",1981
"1977–1982","Linfield","DC","Coaching","Mike Riley",1982
"1983–1985","Winnipeg Blue Bombers","DB","Coaching","Mike Riley",1983
"1983–1985","Winnipeg Blue Bombers","DB","Coaching","Mike Riley",1984
"1983–1985","Winnipeg Blue Bombers","DB","Coaching","Mike Riley",1985
"1986","Northern Colorado","DB","Coaching","Mike Riley",1986
"1987–1990","Winnipeg Blue Bombers","HC","Coaching","Mike Riley",1987
"1987–1990","Winnipeg Blue Bombers","HC","Coaching","Mike Riley",1988
"1987–1990","Winnipeg Blue Bombers","HC","Coaching","Mike Riley",1989
"1987–1990","Winnipeg Blue Bombers","HC","Coaching","Mike Riley",1990
"1991–1992","San Antonio Riders","HC","Coaching","Mike Riley",1991
"1991–1992","San Antonio Riders","HC","Coaching","Mike Riley",1992
"1993–1996","USC","OC/QB","Coaching","Mike Riley",1993
"1993–1996","USC","OC/QB","Coaching","Mike Riley",1994
"1993–1996","USC","OC/QB","Coaching","Mike Riley",1995
"1993–1996","USC","OC/QB","Coaching","Mike Riley",1996
"1997–1998","Oregon State","HC","Coaching","Mike Riley",1997
"1997–1998","Oregon State","HC","Coaching","Mike Riley",1998
"1999–2001","San Diego Chargers","HC","Coaching","Mike Riley",1999
"1999–2001","San Diego Chargers","HC","Coaching","Mike Riley",2000
"1999–2001","San Diego Chargers","HC","Coaching","Mike Riley",2001
"2002","New Orleans Saints","AHC/DB","Coaching","Mike Riley",2002
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2003
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2004
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2005
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2006
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2007
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2008
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2009
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2010
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2011
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2012
"2003–2013","Oregon State","HC","Coaching","Mike Riley",2013
"1995","Western Washington","LB","Coaching","David Shaw",1995
"1996","Western Washington","TE","Coaching","David Shaw",1996
"1997","Philadelphia Eagles","QC","Coaching","David Shaw",1997
"1998–2000","Oakland Raiders","QC","Coaching","David Shaw",1998
"1998–2000","Oakland Raiders","QC","Coaching","David Shaw",1999
"1998–2000","Oakland Raiders","QC","Coaching","David Shaw",2000
"2001","Oakland Raiders","QB","Coaching","David Shaw",2001
"2002–2004","Baltimore Ravens","QB/WR","Coaching","David Shaw",2002
"2002–2004","Baltimore Ravens","QB/WR","Coaching","David Shaw",2003
"2002–2004","Baltimore Ravens","QB/WR","Coaching","David Shaw",2004
"2005","Baltimore Ravens","WR","Coaching","David Shaw",2005
"2006","Univ. of San Diego","WR/QB","Coaching","David Shaw",2006
"2007–2009","Stanford","OC/WR","Coaching","David Shaw",2007
"2007–2009","Stanford","OC/WR","Coaching","David Shaw",2008
"2007–2009","Stanford","OC/WR","Coaching","David Shaw",2009
"2010","Stanford","OC/RB","Coaching","David Shaw",2010
"2011–2013","Stanford","HC","Coaching","David Shaw",2011
"2011–2013","Stanford","HC","Coaching","David Shaw",2012
"2011–2013","Stanford","HC","Coaching","David Shaw",2013
"1984","Washington","GA","Coaching","Jim L. Mora",1984
"1985–1988","San Diego Chargers","defensive QC","Coaching","Jim L. Mora",1985
"1985–1988","San Diego Chargers","defensive QC","Coaching","Jim L. Mora",1986
"1985–1988","San Diego Chargers","defensive QC","Coaching","Jim L. Mora",1987
"1985–1988","San Diego Chargers","defensive QC","Coaching","Jim L. Mora",1988
"1989–1991","San Diego Chargers","DB","Coaching","Jim L. Mora",1989
"1989–1991","San Diego Chargers","DB","Coaching","Jim L. Mora",1990
"1989–1991","San Diego Chargers","DB","Coaching","Jim L. Mora",1991
"1992–1996","New Orleans Saints","DB","Coaching","Jim L. Mora",1992
"1992–1996","New Orleans Saints","DB","Coaching","Jim L. Mora",1993
"1992–1996","New Orleans Saints","DB","Coaching","Jim L. Mora",1994
"1992–1996","New Orleans Saints","DB","Coaching","Jim L. Mora",1995
"1992–1996","New Orleans Saints","DB","Coaching","Jim L. Mora",1996
"1997–1998","San Francisco 49ers","DB","Coaching","Jim L. Mora",1997
"1997–1998","San Francisco 49ers","DB","Coaching","Jim L. Mora",1998
"1999–2003","San Francisco 49ers","DC","Coaching","Jim L. Mora",1999
"1999–2003","San Francisco 49ers","DC","Coaching","Jim L. Mora",2000
"1999–2003","San Francisco 49ers","DC","Coaching","Jim L. Mora",2001
"1999–2003","San Francisco 49ers","DC","Coaching","Jim L. Mora",2002
"1999–2003","San Francisco 49ers","DC","Coaching","Jim L. Mora",2003
"2004–2006","Atlanta Falcons","HC","Coaching","Jim L. Mora",2004
"2004–2006","Atlanta Falcons","HC","Coaching","Jim L. Mora",2005
"2004–2006","Atlanta Falcons","HC","Coaching","Jim L. Mora",2006
"2007–2008","Seattle Seahawks","AHC/DB","Coaching","Jim L. Mora",2007
"2007–2008","Seattle Seahawks","AHC/DB","Coaching","Jim L. Mora",2008
"2009","Seattle Seahawks","HC","Coaching","Jim L. Mora",2009
"2012–2013","UCLA","HC","Coaching","Jim L. Mora",2012
"2012–2013","UCLA","HC","Coaching","Jim L. Mora",2013
"1984","Northwestern State","GA","Coaching","Ed Orgeron",1984
"1985","Mc","HC","Coaching","Ed Orgeron",1985
"1986–1987","Neese State","GA","Coaching","Ed Orgeron",1986
"1986–1987","Neese State","GA","Coaching","Ed Orgeron",1987
"1988–1992","Arkansas","Asst. Strength","Coaching","Ed Orgeron",1988
"1988–1992","Arkansas","Asst. Strength","Coaching","Ed Orgeron",1989
"1988–1992","Arkansas","Asst. Strength","Coaching","Ed Orgeron",1990
"1988–1992","Arkansas","Asst. Strength","Coaching","Ed Orgeron",1991
"1988–1992","Arkansas","Asst. Strength","Coaching","Ed Orgeron",1992
"1994","Miami","DL","Coaching","Ed Orgeron",1994
"1995–1997","Nicholls State","LB","Coaching","Ed Orgeron",1995
"1995–1997","Nicholls State","LB","Coaching","Ed Orgeron",1996
"1995–1997","Nicholls State","LB","Coaching","Ed Orgeron",1997
"1998–2004","Syracuse","DL","Coaching","Ed Orgeron",1998
"1998–2004","Syracuse","DL","Coaching","Ed Orgeron",1999
"1998–2004","Syracuse","DL","Coaching","Ed Orgeron",2000
"1998–2004","Syracuse","DL","Coaching","Ed Orgeron",2001
"1998–2004","Syracuse","DL","Coaching","Ed Orgeron",2002
"1998–2004","Syracuse","DL","Coaching","Ed Orgeron",2003
"1998–2004","Syracuse","DL","Coaching","Ed Orgeron",2004
"2005–2007","USC","Asst. HC/DL/RC","Coaching","Ed Orgeron",2005
"2005–2007","USC","Asst. HC/DL/RC","Coaching","Ed Orgeron",2006
"2005–2007","USC","Asst. HC/DL/RC","Coaching","Ed Orgeron",2007
"2008","Mississippi","HC","Coaching","Ed Orgeron",2008
"2009","New Orleans Saints","DL","Coaching","Ed Orgeron",2009
"2010–2013","Tennessee","Asst. HC/DL/RC","Coaching","Ed Orgeron",2010
"2010–2013","Tennessee","Asst. HC/DL/RC","Coaching","Ed Orgeron",2011
"2010–2013","Tennessee","Asst. HC/DL/RC","Coaching","Ed Orgeron",2012
"2010–2013","Tennessee","Asst. HC/DL/RC","Coaching","Ed Orgeron",2013
"2013–2013","USC","DL/RC","Coaching","Ed Orgeron",2013
"1984","USC","Interim HC","Coaching","Ed Orgeron",1984
"1985–1986","BYU","GA","Coaching","Kyle Whittingham",1985
"1985–1986","BYU","GA","Coaching","Kyle Whittingham",1986
"1987","Eastern Utah","DC","Coaching","Kyle Whittingham",1987
"1988–1991","Idaho State","LB/ST","Coaching","Kyle Whittingham",1988
"1988–1991","Idaho State","LB/ST","Coaching","Kyle Whittingham",1989
"1988–1991","Idaho State","LB/ST","Coaching","Kyle Whittingham",1990
"1988–1991","Idaho State","LB/ST","Coaching","Kyle Whittingham",1991
"1992–1993","Idaho State","DC","Coaching","Kyle Whittingham",1992
"1992–1993","Idaho State","DC","Coaching","Kyle Whittingham",1993
"1994","Utah","DL","Coaching","Kyle Whittingham",1994
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",1995
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",1996
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",1997
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",1998
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",1999
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",2000
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",2001
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",2002
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",2003
"1995–2004","Utah","DC/DL","Coaching","Kyle Whittingham",2004
"2005–2013","Utah","HC","Coaching","Kyle Whittingham",2005
"2005–2013","Utah","HC","Coaching","Kyle Whittingham",2006
"2005–2013","Utah","HC","Coaching","Kyle Whittingham",2007
